type	source	target	count	weight	count/weight
1	NetStim[0]	TCR	10750	86167.24	8.016
1	NetStim[0]	nRT	4400	26407.674	6.002
1	TCR	Spinstel4	8640	86022.775	9.956
0	TCR	Spinstel4	9120	30390.218	3.332
1	TCR	nRT	3500	14012.544	4.004
0	TCR	nRT	3500	4657.62	1.331
-1	nRT	TCR	12250	49015.123	4.001
-1	nRT	nRT	4300	17199.775	4.0
1	SyppyrFRB	Bask23	4140	1909.773	0.461
0	SyppyrFRB	Bask23	3240	500.879	0.155
1	SyppyrFRB	SyppyrFRB	2150	13455.661	6.258
0	SyppyrFRB	SyppyrFRB	1800	3728.494	2.071
1	SyppyrFRB	SyppyrRS	19500	121819.541	6.247
0	SyppyrFRB	SyppyrRS	19000	39512.907	2.08
1	SyppyrFRB	Axax23	4320	1386.013	0.321
0	SyppyrFRB	Axax23	3240	351.564	0.109
1	SyppyrFRB	TuftRS5	9000	79979.913	8.887
0	SyppyrFRB	TuftRS5	10000	29635.09	2.964
